__anonymous__ - id,__anonymous__ - type,__anonymous__ - geometry - type,__anonymous__ - geometry - coordinates - __anonymous__,__anonymous__ - geometry - coordinates - __anonymous__ - __anonymous__ - __anonymous__,__anonymous__ - properties - @id,__anonymous__ - properties - amenity,__anonymous__ - properties - name,__anonymous__ - properties - atm,__anonymous__ - properties - addr:housenumber,__anonymous__ - properties - building,__anonymous__ - properties - addr:street,__anonymous__ - properties - operator,__anonymous__ - properties - addr:city,__anonymous__ - properties - addr:postcode,__anonymous__ - properties - addr:country,__anonymous__ - properties - drive_through,__anonymous__ - properties - addr:housename
way/122706794,Feature,Polygon,,-1.391865,way/122706794,bank,Nationwide,yes,178,yes,Portswood Road,,,,,,
,,,,50.926305,,,,,,,,,,,,,
,,,,-1.3917303,,,,,,,,,,,,,
,,,,50.9262268,,,,,,,,,,,,,
,,,,-1.3916879,,,,,,,,,,,,,
,,,,50.9262052,,,,,,,,,,,,,
,,,,-1.3916172,,,,,,,,,,,,,
,,,,50.9262506,,,,,,,,,,,,,
,,,,-1.3917923,,,,,,,,,,,,,
,,,,50.9263534,,,,,,,,,,,,,
,,,,-1.391865,,,,,,,,,,,,,
,,,,50.926305,,,,,,,,,,,,,
way/122706795,Feature,Polygon,,-1.3914672,way/122706795,bank,Halifax,yes,180-182,yes,Portswood Road,,,,,no,
,,,,50.9263017,,,,,,,,,,,,,
,,,,-1.3916788,,,,,,,,,,,,,
,,,,50.9264272,,,,,,,,,,,,,
,,,,-1.3917923,,,,,,,,,,,,,
,,,,50.9263534,,,,,,,,,,,,,
,,,,-1.3916172,,,,,,,,,,,,,
,,,,50.9262506,,,,,,,,,,,,,
,,,,-1.3915516,,,,,,,,,,,,,
,,,,50.926212,,,,,,,,,,,,,
,,,,-1.3915229,,,,,,,,,,,,,
,,,,50.9262315,,,,,,,,,,,,,
,,,,-1.3915477,,,,,,,,,,,,,
,,,,50.926246,,,,,,,,,,,,,
,,,,-1.3914672,,,,,,,,,,,,,
,,,,50.9263017,,,,,,,,,,,,,
way/153481045,Feature,Polygon,,-1.4047521,way/153481045,bank,Santander,yes,,yes,,Santander,,,,,
,,,,50.9030881,,,,,,,,,,,,,
,,,,-1.4044169,,,,,,,,,,,,,
,,,,50.9030864,,,,,,,,,,,,,
,,,,-1.4044021,,,,,,,,,,,,,
,,,,50.9031456,,,,,,,,,,,,,
